Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
34;40;63;34.245597261779984;0:00:09.339626;39;52;26.688591165308125;0:00:06.518651;9;156;103.46227055153479;0:00:00.061382;8;152;66.79180057073943;0:00:00.105476;312;2491;35.493382911878776;0:00:00.707578;302;2083;26.983217740830025;0:00:00.573575;914;6496;35.25731251237502;0:00:04.083599;888;4717;26.549111006187857;0:00:02.258049;40;63;34.245597261779984;0:00:09.323794;39;52;26.688591165308125;0:00:06.930955;
35;85;92;35.33613049191314;0:00:09.907151;84;55;27.749445114445578;0:00:06.831834;8;156;67.56305756825127;0:00:00.062632;17;129;33.327480784967484;0:00:00.052040;568;2484;34.8861027303277;0:00:00.716673;508;1990;27.478852041134225;0:00:00.570350;1849;5976;34.88991250600578;0:00:04.710536;1605;4276;27.858775222542683;0:00:02.428899;85;92;35.33613049191314;0:00:10.089061;84;55;27.749445114445578;0:00:06.801314;
36;77;185;44.864508963490806;0:00:32.158461;66;119;36.3665877293019;0:00:20.039929;8;139;61.28088674736491;0:00:00.138108;7;128;150.026962456951;0:00:00.110250;176;4620;49.46830498541038;0:00:02.228769;330;3506;36.44494458891733;0:00:01.572427;2185;12194;44.84912723010336;0:00:20.400790;1513;8405;36.56243410865016;0:00:08.933247;77;185;44.864508963490806;0:00:35.554177;66;119;36.3665877293019;0:00:21.502767;
37;159;125;34.51790241491178;0:00:10.868221;150;126;26.554300553431705;0:00:06.894233;38;143;41.36884831651253;0:00:00.066167;26;134;47.41969978718426;0:00:00.052433;656;2626;33.9605917025398;0:00:00.821678;598;2167;26.263989139058545;0:00:00.648490;2333;6078;34.48816636458923;0:00:04.447699;1958;4183;26.369634779381933;0:00:02.051329;159;125;34.51790241491178;0:00:10.864999;150;126;26.554300553431705;0:00:07.106252;
38;162;92;35.1383863111153;0:00:11.375713;107;60;28.09895516746259;0:00:06.674322;9;144;62.17332367793238;0:00:00.066114;18;136;27.789425951336224;0:00:00.052325;578;2717;34.655311878220104;0:00:01.027158;549;2162;27.117834430181343;0:00:00.670964;2492;6323;34.820400542216305;0:00:04.933245;1664;4338;27.311358988453673;0:00:02.694988;162;92;35.1383863111153;0:00:11.572032;107;60;28.09895516746259;0:00:07.266770;
39;42;67;45.71773044538998;0:00:10.708211;52;61;39.300327739016176;0:00:07.017391;9;140;138.53541575224205;0:00:00.067084;7;152;83.42391871740091;0:00:00.058005;341;2891;46.351139055773785;0:00:00.890256;294;2400;40.02025211119588;0:00:00.672725;1870;6750;45.71832306177749;0:00:05.578692;1273;4871;39.14791663493585;0:00:03.521567;42;67;45.71773044538998;0:00:11.070015;52;61;39.300327739016176;0:00:07.003640;
40;49;81;50.15483141586855;0:00:12.169780;41;83;50.28868864239617;0:00:09.179718;8;144;128.42968565023725;0:00:00.073169;8;133;74.43741043254073;0:00:00.060484;200;3162;51.10359086761532;0:00:00.992664;89;2834;50.541647916634936;0:00:00.810197;1360;7268;48.72907184919851;0:00:05.624375;678;5653;46.171545828769865;0:00:02.934070;49;81;50.15483141586855;0:00:13.267484;41;83;50.28868864239617;0:00:09.358249;
41;53;85;35.525795428269184;0:00:12.746616;68;59;27.62922152637489;0:00:09.391951;22;131;40.99143821628006;0:00:00.070669;36;127;31.99252652581412;0:00:00.058484;420;2658;35.761544596460084;0:00:00.936286;394;2241;27.754248353343367;0:00:00.661343;1764;7157;35.5503876237329;0:00:07.228555;1450;5170;27.52644135243921;0:00:03.437075;53;85;35.525795428269184;0:00:13.275879;68;59;27.62922152637489;0:00:09.358607;
42;92;77;38.85592567925884;0:00:10.157773;100;86;30.7637156770573;0:00:06.374307;14;130;44.557420789481334;0:00:00.065907;9;151;74.14671340213037;0:00:00.050374;562;2612;40.05539993990759;0:00:00.836781;547;2086;30.087693379173412;0:00:00.657017;2283;6801;38.863991769832225;0:00:05.148086;1686;4446;30.443729135541613;0:00:02.097240;92;77;38.85592567925884;0:00:09.987322;100;86;30.7637156770573;0:00:06.206869;
43;79;76;44.37527709662278;0:00:10.605438;72;63;34.03699490876061;0:00:07.506908;8;151;132.8703914729702;0:00:00.068654;10;144;53.31751430656267;0:00:00.057512;266;2778;45.26912953237306;0:00:00.978260;200;2308;35.15979803965822;0:00:00.627280;1946;6544;44.12844821737391;0:00:05.120796;1323;4800;34.54158630114605;0:00:03.138092;79;76;44.37527709662278;0:00:10.756381;72;63;34.03699490876061;0:00:07.543330;
