Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
1;28;50;45.29791158108114;0:00:05.785902;29;40;36.58937361278611;0:00:04.492378;8;122;52.20302303588514;0:00:00.144677;8;125;157.20027872354862;0:00:00.050692;99;1617;46.41102169557518;0:00:00.436804;14;1582;57.989013750638655;0:00:00.402645;134;177;45.19994087682302;0:00:04.088078;7;38;88.42980126581753;0:00:02.828335;28;50;45.29791158108114;0:00:06.056114;29;40;36.58937361278611;0:00:04.646073;
2;51;36;37.24059809947371;0:00:10.474085;35;37;28.187084701220265;0:00:08.639821;9;142;59.64261008749399;0:00:00.065730;7;143;106.96464032477593;0:00:00.059272;252;2604;38.11528119509126;0:00:00.743422;12;2674;47.88667250052269;0:00:00.658100;94;142;37.48467920484173;0:00:05.791556;8;36;64.15554241707179;0:00:04.173633;51;36;37.24059809947371;0:00:11.086166;35;37;28.187084701220265;0:00:08.939568;
3;73;55;35.4596979317965;0:00:10.696765;55;45;26.65596887933195;0:00:08.680069;33;124;36.77261807673828;0:00:00.065137;36;116;27.79064579955443;0:00:00.058857;478;2666;35.230572082506605;0:00:00.812109;265;2629;27.49275152619489;0:00:00.715206;108;74;35.258922130483604;0:00:05.460250;9;33;118.63277653239105;0:00:03.860941;73;55;35.4596979317965;0:00:11.261405;55;45;26.65596887933195;0:00:08.905048;
4;24;60;41.7612988268134;0:00:07.373145;19;56;33.691975171034905;0:00:06.057736;9;134;82.03193136173;0:00:00.062415;9;142;56.76248059804409;0:00:00.056271;12;2583;66.80940598514859;0:00:00.654854;8;2460;78.07418504862085;0:00:00.613273;39;112;41.845084122450054;0:00:04.776820;7;36;75.07313758530977;0:00:03.256089;24;60;41.7612988268134;0:00:07.678815;19;56;33.691975171034905;0:00:06.208950;
5;67;48;31.469953102997557;0:00:06.864706;59;47;24.13275230158082;0:00:06.158259;8;136;70.10447633065225;0:00:00.053777;9;137;137.46914379393564;0:00:00.053203;357;2116;31.330911867697008;0:00:00.603170;213;2070;24.519113955423617;0:00:00.548311;146;91;31.18255700125031;0:00:03.953331;0;0;0;0:00:02.976087;67;48;31.469953102997557;0:00:07.063784;59;47;24.13275230158082;0:00:06.382937;
6;11;58;44.93612896883364;0:00:13.806651;10;52;39.2553179705381;0:00:10.826990;8;145;68.9822284314635;0:00:00.069945;8;133;154.62321505467162;0:00:00.061888;8;3048;116.20691727324461;0:00:00.794874;8;2860;110.83644480013736;0:00:00.757594;12;110;46.40928676956223;0:00:07.276509;6;79;116.32750778501317;0:00:04.929652;11;58;44.93612896883364;0:00:14.438487;10;52;39.2553179705381;0:00:11.026165;
7;6;73;78.62531690438246;0:00:16.769793;5;29;81.1892647818327;0:00:13.463061;8;133;113.4415677472685;0:00:00.070445;9;128;87.29403465144325;0:00:00.063032;9;3293;81.95771169766596;0:00:00.876584;8;2983;77.11414650086331;0:00:00.785407;39;159;46.133691072400275;0:00:07.654110;8;56;114.46828671556213;0:00:05.539831;6;73;78.62531690438246;0:00:17.385810;5;29;81.1892647818327;0:00:13.744288;
8;14;38;32.919548171543056;0:00:21.172960;8;39;57.39843759735594;0:00:16.803693;8;137;142.79252472581106;0:00:00.065539;8;145;148.54837231263008;0:00:00.059392;17;2584;49.91524339502728;0:00:00.665736;11;2403;47.89837598186705;0:00:00.613301;59;579;34.43798504889777;0:00:10.047679;11;59;118.95673692678557;0:00:07.376722;14;38;32.919548171543056;0:00:21.965598;8;39;57.39843759735594;0:00:17.078105;
9;42;79;41.4569051578395;0:00:11.927915;17;53;33.78292240186868;0:00:09.826207;9;142;140.159585500837;0:00:00.063289;7;140;135.8338735650168;0:00:00.058926;8;3187;70.6486636362;0:00:00.852670;10;2884;85.45443915366626;0:00:00.778476;52;121;41.936185045851616;0:00:03.971627;6;31;67.61859250838732;0:00:03.203979;42;79;41.4569051578395;0:00:12.326385;17;53;33.78292240186868;0:00:10.111326;
10;11;85;44.379687796394734;0:00:11.118050;7;66;90.27611562111875;0:00:08.614764;7;151;104.05717709676124;0:00:00.061116;8;139;142.92231602238095;0:00:00.055370;8;2880;72.32459178007839;0:00:00.734757;7;2549;79.5665135740999;0:00:00.641769;34;147;42.63165291510494;0:00:04.614514;6;34;74.79830688944243;0:00:03.607610;11;85;44.379687796394734;0:00:11.526040;7;66;90.27611562111875;0:00:08.743186;
