Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Distancia;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Distancia;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Distancia;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Distancia;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Distancia;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Distancia;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Distancia;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Distancia;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Distancia;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Distancia;FAST_SIFT_45_Tempo;
118;6;42;-1;0:00:16.861691;5;34;-1;0:00:13.004740;7;134;-1;0:00:00.078560;8;149;-1;0:00:00.075150;7;3885;-1;0:00:01.242691;7;3552;-1;0:00:01.152379;6;32;-1;0:00:08.221684;7;72;-1;0:00:06.113514;6;42;-1;0:00:17.767966;5;34;-1;0:00:13.417645;
119;5;30;-1;0:00:13.611723;5;23;-1;0:00:10.991995;7;140;-1;0:00:00.069163;7;133;-1;0:00:00.062882;7;3626;-1;0:00:01.038839;7;3366;-1;0:00:00.922209;6;56;-1;0:00:07.489019;5;17;-1;0:00:05.353554;5;30;-1;0:00:14.192374;5;23;-1;0:00:11.295198;
120;6;48;-1;0:00:10.210994;6;31;-1;0:00:08.261290;7;145;-1;0:00:00.061463;6;132;-1;0:00:00.057099;7;2773;-1;0:00:00.719130;8;2495;-1;0:00:00.636867;6;113;-1;0:00:04.994899;6;73;-1;0:00:03.570740;6;48;-1;0:00:10.735414;6;31;-1;0:00:08.496639;
121;7;52;-1;0:00:10.608713;5;32;-1;0:00:08.278660;7;152;-1;0:00:00.069420;8;149;-1;0:00:00.065287;8;3125;-1;0:00:00.871666;7;2853;-1;0:00:00.783735;7;209;-1;0:00:07.430955;7;69;-1;0:00:05.370611;7;52;-1;0:00:11.307198;5;32;-1;0:00:08.588848;
122;7;53;-1;0:00:12.495716;6;40;-1;0:00:10.430364;6;145;-1;0:00:00.075701;8;131;-1;0:00:00.070373;7;3589;-1;0:00:01.046264;7;3385;-1;0:00:00.964151;8;163;-1;0:00:10.486986;8;102;-1;0:00:07.466965;7;53;-1;0:00:13.311014;6;40;-1;0:00:10.714685;
123;10;68;-1;0:00:09.833162;7;75;-1;0:00:07.847383;7;134;-1;0:00:00.063110;7;125;-1;0:00:00.059008;7;3218;-1;0:00:00.906843;7;2913;-1;0:00:00.796503;5;27;-1;0:00:04.225521;7;63;-1;0:00:03.034095;10;68;-1;0:00:10.226280;7;75;-1;0:00:07.876178;
124;8;64;-1;0:00:15.319067;6;39;-1;0:00:11.562309;7;130;-1;0:00:00.076090;9;132;-1;0:00:00.072117;6;3884;-1;0:00:01.220770;7;3539;-1;0:00:01.076281;7;65;-1;0:00:07.025671;5;70;-1;0:00:05.258702;8;64;-1;0:00:15.801415;6;39;-1;0:00:11.715757;
125;6;33;-1;0:00:14.421506;5;29;-1;0:00:11.370728;7;128;-1;0:00:00.074863;9;129;-1;0:00:00.068790;7;3225;-1;0:00:00.873582;6;2986;-1;0:00:00.799809;9;197;-1;0:00:13.129490;7;79;-1;0:00:09.392557;6;33;-1;0:00:15.594355;5;29;-1;0:00:11.592644;
126;7;21;-1;0:00:14.820071;5;23;-1;0:00:10.294757;8;148;-1;0:00:00.065711;7;143;-1;0:00:00.061571;7;2423;-1;0:00:00.605636;7;2224;-1;0:00:00.587165;5;25;-1;0:00:07.854344;6;34;-1;0:00:05.723275;7;21;-1;0:00:15.330339;5;23;-1;0:00:10.496101;
127;7;53;-1;0:00:09.475139;20;44;-1;0:00:07.866433;6;130;-1;0:00:00.060091;6;130;-1;0:00:00.056383;7;3061;-1;0:00:00.829899;7;2690;-1;0:00:00.746542;7;108;-1;0:00:03.968179;7;29;-1;0:00:02.963313;7;53;-1;0:00:09.641313;20;44;-1;0:00:07.970798;
128;6;55;-1;0:00:14.791858;7;34;-1;0:00:11.489235;9;136;-1;0:00:00.068731;7;141;-1;0:00:00.062514;7;3323;-1;0:00:00.936753;6;3053;-1;0:00:00.830367;6;99;1.3143915862287792;0:00:06.062128;7;71;-1;0:00:04.422857;6;55;-1;0:00:15.417399;7;34;-1;0:00:11.918321;
129;8;140;-1;0:00:29.506089;8;97;-1;0:00:23.464957;7;136;-1;0:00:00.102642;7;145;-1;0:00:00.090408;7;4234;-1;0:00:01.600052;7;3936;-1;0:00:01.355484;7;258;-1;0:00:14.632092;6;97;-1;0:00:10.582269;8;140;-1;0:00:30.686882;8;97;-1;0:00:23.779385;
